Trait,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,SHW,SP,PY,Biomass,HI,GY
Severity,1,-0.035267011,0.337548864,-0.028495023,0.053364583,0.960488987,-0.140424344,-0.315903533,-0.378633754,-0.487233606,-0.617136767,-0.902147456,0.094488262,-0.813728659,-0.961954207
GGA,-0.035267011,1,-0.836915365,0.333675524,-0.651775586,-0.050304463,-0.340647932,-0.508124792,-0.856667131,-0.370468245,0.342275695,-0.131599594,0.418535066,0.176106286,0.027369362
Necrosis,0.337548864,-0.836915365,1,-0.292563927,0.341712298,0.39633,-0.045216812,0.102883713,0.595380622,0.128854273,-0.488799737,-0.170266787,-0.355527508,-0.280573715,-0.305233443
a,-0.028495023,0.333675524,-0.292563927,1,-0.161908153,0.022486596,-0.172583223,-0.02156077,-0.056514637,-0.522941774,0.326511698,-0.136565665,0.575401685,-0.088095565,0.105973657
u,0.053364583,-0.651775586,0.341712298,-0.161908153,1,-0.034790277,0.84283787,0.877477793,0.61310432,0.22440817,-0.230700518,0.064782823,-0.377012689,-0.361722423,-0.037018463
Chlorosis,0.960488987,-0.050304463,0.39633,0.022486596,-0.034790277,1,-0.315663247,-0.405856562,-0.338812741,-0.406356937,-0.701516335,-0.822241702,0.004604151,-0.730583705,-0.897879088
b,-0.140424344,-0.340647932,-0.045216812,-0.172583223,0.84283787,-0.315663247,1,0.859659513,0.425347302,0.066366632,0.121479219,0.076889352,-0.174311786,-0.139044326,0.068073479
v,-0.315903533,-0.508124792,0.102883713,-0.02156077,0.877477793,-0.405856562,0.859659513,1,0.672303932,0.260444078,0.072411764,0.315538844,-0.249933411,-0.077506115,0.286032012
CSI,-0.378633754,-0.856667131,0.595380622,-0.056514637,0.61310432,-0.338812741,0.425347302,0.672303932,1,0.358699601,0.014817766,0.414438658,-0.320539307,0.150898893,0.366372117
SHW,-0.487233606,-0.370468245,0.128854273,-0.522941774,0.22440817,-0.406356937,0.066366632,0.260444078,0.358699601,1,-0.249144866,0.774336862,-0.492297932,0.233651738,0.499801987
SP,-0.617136767,0.342275695,-0.488799737,0.326511698,-0.230700518,-0.701516335,0.121479219,0.072411764,0.014817766,-0.249144866,1,0.357980041,0.489855365,0.60237748,0.629550989
PY,-0.902147456,-0.131599594,-0.170266787,-0.136565665,0.064782823,-0.822241702,0.076889352,0.315538844,0.414438658,0.774336862,0.357980041,1,-0.244840585,0.66614883,0.935085433
Biomass,0.094488262,0.418535066,-0.355527508,0.575401685,-0.377012689,0.004604151,-0.174311786,-0.249933411,-0.320539307,-0.492297932,0.489855365,-0.244840585,1,-0.199549842,-0.059396819
HI,-0.813728659,0.176106286,-0.280573715,-0.088095565,-0.361722423,-0.730583705,-0.139044326,-0.077506115,0.150898893,0.233651738,0.60237748,0.66614883,-0.199549842,1,0.780953155
GY,-0.961954207,0.027369362,-0.305233443,0.105973657,-0.037018463,-0.897879088,0.068073479,0.286032012,0.366372117,0.499801987,0.629550989,0.935085433,-0.059396819,0.780953155,1
