Trait,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,SHW,SP,PY,Biomass,HI,GY
Severity,1,-0.096741191,0.264760716,-0.322149237,0.676662777,0.797483602,-0.606679348,-0.727399543,-0.199230037,-0.49034654,-0.635823812,-0.894718259,0.041088606,-0.766580353,-0.950041547
GGA,-0.096741191,1,-0.319290186,0.565054434,-0.07106028,-0.185680309,0.085503621,0.159075975,-0.44091659,-0.145451182,-0.159448385,-0.051602031,-0.081601776,-0.101326349,0.01083577
Necrosis,0.264760716,-0.319290186,1,0.296155704,0.650181074,0.417322038,0.055257865,-0.202674509,0.452163291,0.182663193,-0.366569435,-0.071429701,-0.369706783,-0.133159105,-0.200084243
a,-0.322149237,0.565054434,0.296155704,1,0.050056683,-0.181775445,0.267287724,0.097474972,-0.181490936,0.10822344,0.02524825,0.282905699,-0.066050672,0.096164631,0.326624004
u,0.676662777,-0.07106028,0.650181074,0.050056683,1,0.527678538,-0.073892402,-0.271242761,0.169063113,-0.115446341,-0.619681843,-0.52523652,-0.314397374,-0.630078565,-0.65428051
Chlorosis,0.797483602,-0.185680309,0.417322038,-0.181775445,0.527678538,1,-0.319974406,-0.591520391,0.02860552,-0.154240702,-0.711986245,-0.555381563,-0.213058298,-0.419585407,-0.673813924
b,-0.606679348,0.085503621,0.055257865,0.267287724,-0.073892402,-0.319974406,1,0.769028114,0.670608508,0.400883666,0.21110262,0.527718046,-0.392380174,0.583763204,0.497801111
v,-0.727399543,0.159075975,-0.202674509,0.097474972,-0.271242761,-0.591520391,0.769028114,1,0.378428681,0.627353313,0.187243721,0.688109716,-0.257556804,0.492513453,0.590497265
CSI,-0.199230037,-0.44091659,0.452163291,-0.181490936,0.169063113,0.02860552,0.670608508,0.378428681,1,0.276315721,0.041342471,0.198621463,-0.537977688,0.466586903,0.117105795
SHW,-0.49034654,-0.145451182,0.182663193,0.10822344,-0.115446341,-0.154240702,0.400883666,0.627353313,0.276315721,1,-0.249144866,0.774336862,-0.492297932,0.233651738,0.499801987
SP,-0.635823812,-0.159448385,-0.366569435,0.02524825,-0.619681843,-0.711986245,0.21110262,0.187243721,0.041342471,-0.249144866,1,0.357980041,0.489855365,0.60237748,0.629550989
PY,-0.894718259,-0.051602031,-0.071429701,0.282905699,-0.52523652,-0.555381563,0.527718046,0.688109716,0.198621463,0.774336862,0.357980041,1,-0.244840585,0.66614883,0.935085433
Biomass,0.041088606,-0.081601776,-0.369706783,-0.066050672,-0.314397374,-0.213058298,-0.392380174,-0.257556804,-0.537977688,-0.492297932,0.489855365,-0.244840585,1,-0.199549842,-0.059396819
HI,-0.766580353,-0.101326349,-0.133159105,0.096164631,-0.630078565,-0.419585407,0.583763204,0.492513453,0.466586903,0.233651738,0.60237748,0.66614883,-0.199549842,1,0.780953155
GY,-0.950041547,0.01083577,-0.200084243,0.326624004,-0.65428051,-0.673813924,0.497801111,0.590497265,0.117105795,0.499801987,0.629550989,0.935085433,-0.059396819,0.780953155,1
