Trait,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,SHW,SP,PY,Biomass,HI,GY
Severity,1,-0.277314256,0.397111386,-0.254297165,0.644345947,0.882428632,-0.472854068,-0.640183262,0.156807597,-0.468347162,-0.64752505,-0.879093421,0.028845243,-0.738338825,-0.940976346
GGA,-0.277314256,1,-0.813265657,-0.085807223,-0.760270053,-0.393726247,-0.334007354,0.134779452,-0.290784133,-0.32511206,0.507130942,-0.01953203,0.614953828,0.091171036,0.155362879
Necrosis,0.397111386,-0.813265657,1,0.350295313,0.714344422,0.400163757,0.071629758,-0.275128375,-0.066670123,0.113960553,-0.601965374,-0.213487318,-0.356094748,-0.408326731,-0.356051539
a,-0.254297165,-0.085807223,0.350295313,1,0.012318496,-0.131226845,0.042375308,-0.050120825,-0.742641523,-0.065471164,0.063092988,0.178210449,0.090395807,0.061993069,0.280605246
u,0.644345947,-0.760270053,0.714344422,0.012318496,1,0.6168529,0.122588798,-0.268405107,0.093944339,0.007158829,-0.70051449,-0.401127463,-0.510124651,-0.553347901,-0.55307249
Chlorosis,0.882428632,-0.393726247,0.400163757,-0.131226845,0.6168529,1,-0.365718396,-0.55883794,0.051733729,-0.217800659,-0.748022933,-0.638258033,-0.14156661,-0.502493748,-0.751654606
b,-0.472854068,-0.334007354,0.071629758,0.042375308,0.122588798,-0.365718396,1,0.790793031,0.300027049,0.470169893,0.033653561,0.478408608,-0.557455154,0.339981465,0.391498553
v,-0.640183262,0.134779452,-0.275128375,-0.050120825,-0.268405107,-0.55883794,0.790793031,1,0.13797182,0.538467366,0.101730571,0.594890611,-0.432849428,0.377372529,0.51268492
CSI,0.156807597,-0.290784133,-0.066670123,-0.742641523,0.093944339,0.051733729,0.300027049,0.13797182,1,0.002207128,0.014835742,-0.146429267,-0.302729881,0.163753683,-0.201668428
SHW,-0.468347162,-0.32511206,0.113960553,-0.065471164,0.007158829,-0.217800659,0.470169893,0.538467366,0.002207128,1,-0.249144866,0.774336862,-0.492297932,0.233651738,0.499801987
SP,-0.64752505,0.507130942,-0.601965374,0.063092988,-0.70051449,-0.748022933,0.033653561,0.101730571,0.014835742,-0.249144866,1,0.357980041,0.489855365,0.60237748,0.629550989
PY,-0.879093421,-0.01953203,-0.213487318,0.178210449,-0.401127463,-0.638258033,0.478408608,0.594890611,-0.146429267,0.774336862,0.357980041,1,-0.244840585,0.66614883,0.935085433
Biomass,0.028845243,0.614953828,-0.356094748,0.090395807,-0.510124651,-0.14156661,-0.557455154,-0.432849428,-0.302729881,-0.492297932,0.489855365,-0.244840585,1,-0.199549842,-0.059396819
HI,-0.738338825,0.091171036,-0.408326731,0.061993069,-0.553347901,-0.502493748,0.339981465,0.377372529,0.163753683,0.233651738,0.60237748,0.66614883,-0.199549842,1,0.780953155
GY,-0.940976346,0.155362879,-0.356051539,0.280605246,-0.55307249,-0.751654606,0.391498553,0.51268492,-0.201668428,0.499801987,0.629550989,0.935085433,-0.059396819,0.780953155,1
