Environment,Ward,Replication,Genotype,Genotype,SHW,SP,PY,Biomass,HI,GY, Severity,Class, GGA, Necrosis, a, u, Chlorosis, b, v, CSI
E2,28,1,Bobwhite,G1,198,11.21076233,223,150,0.07183908,25,46.29666667,,0.153333333,17.38556667,14.53333333,12.24223333,23.6483,60.34,5.512366667,843.2758667
E2,28,1,Chigunwe,G2,20,71.42857143,70,600,0.080645161,50,40.15333333,,0.303333333,14.45056667,6.313333333,10.48543333,13.85223333,25.62,-1.56,602.1157667
E2,28,1,Chizambia,G3,26,65.78947368,76,450,0.105042017,50,35.82333333,,0.183333333,23.2542,7.36,11.03286667,14.89273333,28.94,7.632233333,483.0346667
E2,28,1,Guineafowl,G4,45,40,75,483.3333333,0.056782334,30,43.84666667,,0.19,22.8849,13.61666667,14.4927,22.7277,39.71666667,5.9796,630.4333
E2,28,1,Kabhutsu,G5,40,36.50793651,63,1100,0.020175439,23,57.41,,0.14,22.29403333,7.263333333,21.04683333,20.30876667,39.32666667,5.673333333,364.6566667
E2,28,1,Kasawaya,G6,105,53.33333333,225,416.6666667,0.230031949,120,38.39666667,,0.133333333,13.30713333,10.02666667,7.057233333,18.13933333,41.05,9.160433333,549.9407
E2,28,1,Makulu_red,G7,118,41.87192118,203,500,0.137540453,85,35.86,,0.323333333,24.32093333,13.48333333,7.5303,24.1224,46.79,9.2229,979.6668667
E2,28,1,Munzungu_munemari,G8,71,60.98901099,182,833.3333333,0.122742352,111,44.29,,0.176666667,16.36773333,4.113333333,9.7897,28.4528,37.16666667,10.23333333,512.9260333
E2,28,1,Murambatsvina,G9,45,64,125,233.3333333,0.28742515,80,35.44,,0.166666667,15.99673333,8,10.08786667,21.51803333,40.29333333,9.358933333,707.1626667
E2,28,1,Muromo_wehoto,G10,83,17,100,1216.666667,0.013080277,17,46.99666667,,0.19,18.4844,4.186666667,14.2531,20.7625,37.62333333,6.785533333,920.7148667
E2,28,1,Natal_common,G11,163,47.92332268,313,533.3333333,0.215414074,150,36.18,,0.203333333,17.87196667,7.746666667,6.415733333,29.90376667,61.75666667,9.6985,801.3213333
E2,28,1,Tumbe,G12,111,50,222,866.6666667,0.113535629,111,37.22666667,,0.16,6.390166667,6.6,7.989733333,24.68363333,42.98333333,12.8525,831.4081333
E2,28,2,Bobwhite,G1,179,11.38613861,202,152,0.069486405,23,47.1,,0.136666667,24.0812,13.72666667,11.9783,25.47983333,59.40666667,0.891466667,797.1426667
E2,28,2,Chigunwe,G2,8,85.45454545,55,566.6666667,0.081786543,47,40.7,,0.286666667,16.3785,5.8,12.3452,15.3694,22.44666667,-2.971233333,186.4278333
E2,28,2,Chizambia,G3,37,58.88888889,90,333.3333333,0.143114311,53,35.76333333,,0.143333333,25.73263333,15.67666667,12.59936667,19.3668,37.17666667,3.126466667,343.8899
E2,28,2,Guineafowl,G4,51,26.08695652,69,500,0.032667877,18,45.95666667,,0.52,23.5897,14.92333333,16.2885,20.83256667,40.84,3.631366667,158.6315333
E2,28,2,Kabhutsu,G5,67,12.98701299,77,455,0.019157088,10,58.45666667,,0.173333333,27.9585,18.19333333,21.8862,27.284,63.08333333,2.709133333,605.5397
E2,28,2,Kasawaya,G6,100,50,200,466.6666667,0.176470588,100,39.03,,0.106666667,19.49796667,17.79333333,7.038366667,21.85003333,48.27333333,8.7759,404.5163667
E2,28,2,Makulu_red,G7,115,41.02564103,195,516.6666667,0.126649077,80,36.86666667,,0.303333333,25.88156667,13.38,7.766266667,24.3643,49.63,8.6846,440.0177333
E2,28,2,Munzungu_munemari,G8,87,56.28140704,199,450,0.208566108,112,45.20666667,,0.17,22.38686667,11.90333333,10.9159,29.59113333,45.53333333,4.1753,612.8337
