Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
Kasawaya,G6,7,22.28,0.16,0,2.28,11.85,0,15.51,15.25,0,0,20.98,922.92,35.19,0.51,55.58,0.09
Natal_common,G11,7,26.18,0.29,57.45,-3.05,6.47,0,20.81,84.21,-2.7,1564.07,42.67,438.08,26.23,0.52,56.03,0.08
Makulu_red,G7,7,29.88,0.46,61.92,12.5,35.56,1.68,13.43,49.11,-2.85,607.49,29.28,-45.63,17.26,0.55,58.38,0.08
Tumbe,G12,5,30.39,0.18,60.36,0.65,9,1.82,14.98,55.5,-4.57,606.56,25.77,541.02,29.44,0.54,58.56,0.13
Murambatsvina,G9,5,37.37,0.21,63.36,0.8,10.18,1.82,16.59,11.3,-5.46,498.05,26.9,-46.31,17.24,0.55,58.36,0.08
Munzungu_munemari,G8,7,39.15,0.23,0,-0.08,9.05,2.22,17.05,11.86,0,0,30.5,0,20.98,0.53,56.61,0.1
Chizambia,G3,5,41.42,0.15,63.39,2.48,11.67,2.22,14.41,15.04,-6.36,-45.63,17.26,607.49,29.28,0.51,54.67,0.07
Chigunwe,G2,5,42.96,0.16,25.53,-2.3,7.89,2.33,14.56,22.6,-14.26,438.08,26.23,0,30.5,0.51,55.69,0.11
Bobwhite,G1,7,43.09,0.24,75.87,-11.91,30.56,2.72,35.42,78.09,-12.6,922.92,35.19,498.05,26.9,0.53,56.76,0.1
Guinea_fowl,G4,6,45.4,0.46,54.1,10.35,34.36,2.78,29.63,23.09,-16.39,541.02,29.44,433.07,24.97,0.51,55.38,0.12
Muromo_wehoto,G10,6,48.56,0.16,71.22,2.36,12.98,8.12,17.68,19.65,-6.86,433.07,24.97,1564.07,42.67,0.51,56.64,0.14
Kabhutsu,G5,7,55.21,0.15,63.43,2.51,11.7,20,14.41,14.86,-6.36,-46.31,17.24,606.56,25.77,0.49,53.34,0.1
Kasawaya,G6,6,23,0.09,0,15,36.47,0,25.88,28.98,0,0,17.11,1300.72,29.3,0.49,56.68,0.37
Natal_common,G11,7,27,0.1,80.78,15.87,44.71,2.21,39.54,89.26,-20.12,702.73,25.92,-855.41,14.22,0.52,55.47,0.22
Makulu_red,G7,7,30.1,0.45,61.25,12.79,32.97,2.6,16.08,48.31,-3.1,0,19.61,-223.62,19.31,0.51,55.18,0.26
Tumbe,G12,6,31.5,0.14,78.78,14.63,42.57,2.75,39.96,60.3,-19.29,1005.03,27.34,-687.93,15.56,0.53,56.6,0.22
Murambatsvina,G9,5,38,0.14,75.26,14.29,41.71,4.23,39.35,92.94,-19.29,975.96,27.33,704.47,25.53,0.49,55.6,0.38
Munzungu_munemari,G8,7,40.1,0.2,71.05,9.28,28.82,4.35,28.84,35.05,-14.61,626.85,25.73,0,17.11,0.49,52.86,0.25
Chizambia,G3,6,40.2,0.1,81.33,14.3,36.59,6.03,27.81,36.15,-17.88,-223.62,19.31,0,19.61,0.48,52.84,0.25
Chigunwe,G2,5,43.2,0.17,28.07,-2.5,8.68,7.72,14.85,23.23,-19.07,-855.41,14.22,626.85,25.73,0.49,54.48,0.27
Bobwhite,G1,6,44,0.23,77.12,11.63,32.09,7.98,38.72,79.57,-17.01,1300.72,29.3,975.96,27.33,0.49,56.32,0.39
Guinea_fowl,G4,6,46.5,1.46,58.3,15.11,36.81,8.53,25.08,28.61,-18.01,-687.93,15.56,-153.44,19.88,0.51,55.33,0.25
Muromo_wehoto,G10,5,49.1,0.15,79.55,13.11,34.36,9.71,27.14,24.08,-17.01,-153.44,19.88,702.73,25.92,0.51,57.57,0.38
Kabhutsu,G5,7,56,0.23,83.69,15.97,44.08,22,38.54,91.77,-20.26,704.47,25.53,1005.03,27.34,0.49,56.56,0.39
Kasawaya,G6,6,29.89,0.31,54.5,-5.61,1.63,1.15,18.31,5.23,-0.19,1617.26,53.74,1678.67,47.09,0.49,53.57,0.11
Natal_common,G11,7,36.28,0.31,36.74,-6.9,-1.14,1.27,16.36,89.51,1.47,1834.95,66.26,0,21.14,0.53,56.39,0.07
Makulu_red,G7,6,40.11,0.4,60.25,12.6,36.68,1.4,14.78,49.13,-3.3,0,30.19,979.4,41.45,0.56,60.14,0.08
Tumbe,G12,6,46.97,0.28,51.3,-4.55,1.93,1.83,15.8,68.1,-0.53,1369.2,49.45,502.52,29.19,0.54,57.81,0.05
Murambatsvina,G9,5,47.56,0.34,37.53,-7.34,-1.64,2.13,16.75,11.91,2.28,2176.3,69.06,1508.49,55.12,0.52,56.83,0.07
Munzungu_munemari,G8,7,50.11,0.41,42.28,-9.14,-2.46,2.23,20.61,5.26,3.03,2626.63,70.7,1617.26,53.74,0.53,58.09,0.11
Chizambia,G3,6,67.44,0.27,52.43,-3.41,3.82,2.33,16.09,8.71,-1.77,979.4,41.45,0,30.19,0.52,56.31,0.08
Chigunwe,G2,6,77.17,0.16,25,-3.2,8.16,2.76,13.36,27.69,-18.6,0,21.14,2626.63,70.7,0.5,56.27,0.13
Bobwhite,G1,7,96.61,0.25,72.65,-14.07,33.13,2.88,37.03,76.54,-15.53,1678.67,47.09,2176.3,69.06,0.5,55.13,0.09
Guinea_fowl,G4,6,103.5,0.48,50.34,12.45,33.92,3.1,22.29,27.53,-14.27,502.52,29.19,1466.81,48.54,0.51,55.64,0.07
Muromo_wehoto,G10,6,115.19,0.29,30.58,-4.29,1.65,7.14,14.45,11.78,0.19,1466.81,48.54,1834.95,66.26,0.53,58.55,0.08
Kabhutsu,G5,7,129.61,0.33,27.32,-5.22,0.62,22,15.05,14.9,0.54,1508.49,55.12,1369.2,49.45,0.51,56.23,0.09
Kasawaya,G6,7,32.7,0.1,41.4514,-1.46,14.25,2.0667,30.16,57.23,-6.0144,1645.5623,41.08,1981.45,63.44,0.49,55.05,0.15
Natal_common,G11,7,36.8,0.19,62.1959,-4.09,10.2,4.2082,31.07,46.48,-3.626,1959.5286,45.05,3627.83,85.67,0.52,60.89,0.16
Makulu_red,G7,6,38,0.18,64.4628,-4.58,8.66,9.3441,30.65,50.56,-3.6275,2091.9584,47.46,3047.46,76.71,0.48,56,0.17
Tumbe,G12,6,42.5,0.23,24.8705,-5.65,7.03,10.5349,30.59,37.09,-3.031,2123.4177,49.84,1373.49,41.82,0.5,55.97,0.2
Murambatsvina,G9,5,46,0.28,53.5902,-5.2,10.12,12.278,36.67,69.52,-3.5332,2905.3139,48.89,2008.75,50.48,0.48,54.28,0.2
Munzungu_munemari,G8,7,46.8,0.22,54.1532,-5.39,7.23,12.5031,30.09,58.62,-3.1642,2064.4765,49.25,0,45.62,0.45,53.19,0.31
Chizambia,G3,4,50,0.16,68.3426,-4.07,9.14,15.2075,29.07,14.74,-3.4911,1807.5644,45.3,1596.36,52.71,0.53,58.63,0.14
Chigunwe,G2,5,50.4,0.1,53.7917,-4.2,5.05,17.6809,22.52,15.83,-3.4073,2372.9666,54.1,0,58.67,0.49,56.56,0.21
Bobwhite,G1,7,51.9,0.22,68.6267,-2.64,5.86,18.6963,25.33,28.53,-2.8761,1829.4371,48.9,1641.27,44.95,0.47,53.6,0.2
Guinea_fowl,G4,6,54.1,0.15,59.8447,-3.93,11.86,20.8872,30.57,45.68,-4.4437,1715.1542,42.43,2641.17,67.41,0.51,58.27,0.18
Muromo_wehoto,G10,6,56.9,0.28,60.2132,-6.66,3.49,22.4213,24.97,36.64,-0.7832,1668.068,52.39,1149.36,49.43,0.45,51.21,0.16
Kabhutsu,G5,7,63.8,0.19,67.8021,-4.36,7.4,29.3284,26.56,21.4,-3.4462,1692.0626,46.31,2136.05,49.73,0.47,54.54,0.23
Kasawaya,G6,7,33,0.15,47.2939,-1.45,13.1,3.4204,30.58,57.27,-6.6279,174.8789,44.32,2373.12,56.42,0.49,56.56,0.21
Natal_common,G11,7,37.2,0.17,67.892,-3.6,11.13,4.1082,30.32,44.94,-4.2689,184.74,38.89,2715.13,43.02,0.44,51.58,0.29
Makulu_red,G7,6,38.8,0.18,69.6547,-3.74,7.73,11.3399,30.93,53.36,-3.7598,172.1319,40.43,1391.23,49.69,0.44,51.73,0.25
Tumbe,G12,6,43,0.22,22.8895,-3.48,6.22,13.1077,31.21,34.68,-2.5589,145.8777,39.1,3158.38,56.24,0.49,57.14,0.25
Murambatsvina,G9,5,46.9,0.21,52.8628,-5.38,10.06,13.3595,35.58,68.44,-3.2782,101.5792,33.79,1251.3,34.22,0.5,55.88,0.25
Munzungu_munemari,G8,7,47,0.21,62.1106,-3.04,7.55,15.0601,30.56,52.17,-3.6123,12.6645,30.26,643.16,27.44,0.51,56.08,0.25
Chizambia,G3,4,50.4,0.13,63.9279,-3.35,9.15,15.7112,29.68,18.32,-2.4758,65.6085,35.72,0,36.72,0.41,48.6,0.38
Chigunwe,G2,5,50.8,0.2,59.2955,-4.23,4.79,17.342,12.44,17.68,-4.5969,411.5523,47.44,0,36.64,0.44,51.54,0.38
Bobwhite,G1,7,52.3,0.21,61.2636,-2.69,2.02,17.4702,20.48,20.43,-1.6676,1823.3392,24.89,4073.77,62.44,0.47,55.01,0.25
Guinea_fowl,G4,6,54.8,0.13,56.5691,-3.34,11.37,21.8529,31.05,49,-5.2253,141.3336,35.3,2804.41,46.94,0.41,48.47,0.27
Muromo_wehoto,G10,6,57,0.21,62.6993,-6.26,3.43,23.8686,20.95,33.06,-1.4019,96.5832,33.64,3207.05,53.65,0.49,56.78,0.26
Kabhutsu,G5,7,64,0.11,71.2055,-3.57,7.4,24.2134,21.75,22.79,-1.1683,240.427,39.05,556.29,40.31,0.44,50.89,0.27
Kasawaya,G6,7,33.9,0.11,46.9013,-1.4,16.19,2.3957,33.23,54.03,-6.5454,558.929,29.78,624.52,32.01,0.54,58.56,0.13
Natal_common,G11,7,37.8,0.16,61.4211,-4.1,15.84,3.1351,32.83,54.33,-5.2292,1494.1738,35.68,2886.72,63.94,0.43,50.95,0.22
Makulu_red,G7,7,39,0.17,69.4505,-3.8,6.93,11.523,33.2,51.93,-4.9358,495.6737,28.9,4107.64,93.47,0.46,54.91,0.17
