Genotype, Severity, GGA, Necrosis, a, u, Chlorosis, b, v, CSI, SHW, SP, PY, Biomass, HI, GY
Bobwhite,56.295,0.062777778,82.82733889,-7.508888889,28.09055556,8.762711111,32.20444444,35.87722222,53.50055556,110.0555556,30.17645277,168.2222222,163.6111111,0.19073852,58.16666667
Chigunwe,55.80388889,0.17,46.6843,4.092777778,20.50777778,7.484461111,30.50333333,32.56722222,37.22444444,36.05555556,68.80649721,120.3888889,525.3703704,0.173921771,84.33333333
Chizambia,52.33388889,0.123888889,69.69804444,0.421666667,13.435,6.778983333,24.67444444,28.18555556,41.91777778,80.72222222,50.78038873,161.9444444,474.6851852,0.169431947,81.22222222
Guinea_fowl,56.84944444,0.071111111,85.33751111,5.277222222,22.92722222,10.57671111,28.25055556,35.55277778,59.59333333,43.33333333,46.78264619,107.6111111,417,0.126320161,64.27777778
Kabhutsu,69.03611111,0.131111111,81.1151,1.992222222,14.43166667,17.37716111,22.18055556,24.58277778,40.22888889,57.66666667,30.11072618,90,295.1481481,0.130496505,32.33333333
Kasawaya,31.8,0.095,71.64487778,1.275555556,21.90444444,1.484516667,26.50944444,35.14444444,55.64,128.6111111,55.42706121,328.2222222,293.9814815,0.541260796,199.6111111
Makulu_red,38.23333333,0.158888889,48.28872778,3.496666667,17.44944444,3.426583333,27.91277778,32.95,44.03111111,91.88888889,43.69560887,219.9444444,300.7407407,0.458420261,128.0555556
Munzungu_munemari,45.09611111,0.161111111,64.71185,-0.892777778,11.77777778,5.260322222,25.25277778,29.28166667,40.67277778,64.58823529,58.76137841,171.5294118,387.4117647,0.57261967,106.9411765
Murambatsvina,41.40666667,0.140555556,59.32444444,-0.605,11.68111111,4.383066667,24.49,27.99722222,43.38555556,65.5,62.51206368,191.6111111,276.5925926,0.74952425,126.1111111
Muromo_wehoto,62.79611111,0.140555556,63.82150556,-0.076666667,11.49944444,14.25597222,22.42722222,25.78388889,36.96333333,84.77777778,34.01826602,137.4444444,431.5555556,0.195618574,52.66666667
Natal_common,37.29888889,0.120555556,65.61265,0.433888889,13.83944444,2.758422222,25.80166667,29.13055556,51.19388889,96,60.67333756,237,456.2592593,0.507791742,141
Tumbe,40.24722222,0.108888889,72.26186111,1.195,15.22388889,3.923488889,26.47833333,29.14277778,51.63944444,71.66666667,64.08642779,212.4444444,377.9351852,0.748566417,140.7777778
