number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
1,AER4,R1,Rep1,red,Kasawaya,G6,5,14.88,0.6,0.26,40,-4.84,2.46,1.09,27.6,22.65,33.26,-3.45,0,49.34,0.55,60.06,0.09
2,AER4,R1,Rep1,red,Natal_common,G11,6,18.14,0.2,0.28,61.88,-2.93,8.41,2.76,24.55,29.49,29.56,-3.85,1628.36,43.06,0.52,58.28,0.18
3,AER4,R1,Rep1,red,Makulu_red,G7,6,19.06,0.68,0.49,40,-9.85,2.23,2.87,27.3,36.3,24.5,2.25,0,50.21,0.52,57.48,0.1
4,AER4,R1,Rep1,red,Tumbe,G12,4,19.94,0.11,0.21,68.81,-2.67,12.69,5.09,34.44,38.36,48.15,-5.35,2814.95,44.97,0.49,56.69,0.31
5,AER4,R1,Rep1,red,Murambatsvina,G9,4,21.63,0.33,0.39,36.39,-8.46,-1.69,6.36,20.05,25.97,16.35,2.8,2308.69,68.05,0.53,59.16,0.11
6,AER4,R1,Rep1,red,Munzungu_munemari,G8,6,25.48,0.28,0.32,52.22,-6.74,0.61,6.45,19.6,25.2,11.09,0.71,1677.11,58.7,0.54,59.65,0.11
7,AER4,R1,Rep1,red,Chizambia,G3,5,30.09,0.28,0.31,44.39,-4.91,2.59,7.93,18.21,23.14,18.88,0.62,1304.52,49.94,0.53,58.11,0.11
8,AER4,R1,Rep1,red,Chigunwe,G2,4,30.56,0.32,0.45,43.22,-7.64,2.73,8.46,29.59,35.23,28.74,2.24,2091.79,64.25,0.53,58.49,0.11
9,AER4,R1,Rep1,red,Bobwhite,G1,5,33.58,0.38,0.44,79.87,-8.7,18.49,9.68,23.62,39.17,45.03,7.52,1838.91,38.01,0.6,66.51,0.25
10,AER4,R1,Rep1,red,Guinea_fowl,G4,5,36.2,0.57,0.52,52.49,-16.36,-8.12,10,20.82,26.04,50.3,8.21,2020.43,55.91,0.51,56.55,0.14
11,AER4,R1,Rep1,red,Muromo_wehoto,G10,7,40.32,0.23,0.4,48.18,-8.93,4.27,35.22,37.21,42.16,42.2,-1.05,3944.62,56.63,0.48,57.24,0.33
12,AER4,R1,Rep1,red,Kabhutsu,G5,4,52.96,0.2,0.21,77.34,-0.06,9.37,55,18.21,21.3,6.51,-5.31,706.48,33.17,0.46,50.9,0.14
