"","Rank","GEN","Y","BLUPg","Predicted","LL","UL"
"1",1,"G5",62.3992592594444,19.4493201071803,61.7610022060229,58.6706613213595,64.8513430906864
"2",2,"G10",55.0901851855556,12.3724825068266,54.6841646056692,51.5938237210057,57.7745054903326
"3",3,"G4",49.2738888883333,6.74099157994921,49.0526736787918,45.9623327941284,52.1430145634553
"4",4,"G1",47.9377777788889,5.44733369086771,47.7590157897103,44.6686749050468,50.8493566743738
"5",5,"G2",44.9764814811111,2.58012879267576,44.8918108915184,41.8014700068549,47.9821517761818
"6",6,"G3",42.0737037038889,-0.230416936051308,42.0812651627913,38.9909242781278,45.1716060474547
"7",7,"G8",40.5446296305556,-1.71090663782462,40.600775461018,37.5104345763545,43.6911163456814
"8",8,"G9",36.5307407411111,-5.59725934533653,36.7144227535061,33.6240818688426,39.8047636381695
"9",9,"G12",35.7831481466667,-6.32109814196469,35.9905839568779,32.9002430722145,39.0809248415414
"10",10,"G11",33.2790740744444,-8.74560846560201,33.5660736332406,30.4757327485771,36.656414517904
"11",11,"G7",32.1457407405556,-9.84293158340313,32.4687505154395,29.378409630776,35.5590914001029
"12",12,"G6",27.7055555555556,-14.1420355673121,28.1696465315304,25.079305646867,31.2599874161939
