Genotype, Severity, GGA, Necrosis, a, u, Chlorosis, b, v, CSI, SHW, SP, PY, Biomass, HI, GY
Bobwhite,47.93777778,0.148518519,54.90736296,-3.237037037,14.00150926,15.96958889,37.84648148,26.36579259,457.6390593,110.0555556,30.17645277,168.2222222,163.6111111,0.19073852,58.16666667
Chigunwe,44.97648148,0.312592593,32.39263333,-1.875185185,9.112581481,11.04453704,29.15833333,23.22827778,313.8686722,36.05555556,68.80649721,120.3888889,525.3703704,0.173921771,84.33333333
Chizambia,42.0737037,0.247037037,50.42960926,-0.232222222,8.626355556,11.26372778,25.21166667,21.23242037,278.7252741,80.72222222,50.78038873,161.9444444,474.6851852,0.169431947,81.22222222
Guinea_fowl,49.27388889,0.188518519,61.12378148,2.814074074,11.64717963,15.81610556,31.85518519,22.94063704,276.7792963,43.33333333,46.78264619,107.6111111,417,0.126320161,64.27777778
Kabhutsu,62.39925926,0.156111111,57.09823704,0.62537037,15.32186667,26.93189815,26.90481481,19.05568889,258.7667407,57.66666667,30.11072618,90,295.1481481,0.130496505,32.33333333
Kasawaya,27.70555556,0.194814815,48.46955926,0.787407407,9.905501852,9.115838889,33.03518519,25.28693148,248.7850204,128.6111111,55.42706121,328.2222222,293.9814815,0.541260796,199.6111111
Makulu_red,32.14574074,0.282777778,41.48197593,2.088333333,8.561657407,12.07022222,33.83148148,26.99286111,186.4627019,91.88888889,43.69560887,219.9444444,300.7407407,0.458420261,128.0555556
Munzungu_munemari,40.54462963,0.252777778,44.46217593,-1.769444444,8.012255556,14.2076537,30.32740741,23.28101111,335.2829333,64.58823529,58.76137841,171.5294118,387.4117647,0.57261967,106.9411765
Murambatsvina,36.53074074,0.215,41.11081296,-0.677037037,8.620844444,12.0302537,33.19462963,24.20755926,433.0251796,65.5,62.51206368,191.6111111,276.5925926,0.74952425,126.1111111
Muromo_wehoto,55.09018519,0.243518519,42.82511667,-2.26962963,9.027053704,23.59418333,27.12074074,22.7945537,350.4633056,84.77777778,34.01826602,137.4444444,431.5555556,0.195618574,52.66666667
Natal_common,33.27907407,0.201481481,46.39773333,0.831296296,9.287527778,12.64337407,35.59777778,23.6393,307.1556333,96,60.67333756,237,456.2592593,0.507791742,141
Tumbe,35.78314815,0.221296296,43.99571111,-0.287407407,8.662809259,12.18646852,30.31388889,23.40416111,340.0053241,71.66666667,64.08642779,212.4444444,377.9351852,0.748566417,140.7777778
