Trait,CSI,SE,SM,GGA,GA,a.,b.,u.,v.,ab,uv,PY
CSI,1,0.22333286,0.110262558,-0.702762604,-0.524499923,0.459564938,-0.279373802,0.50256714,-0.314720362,0.360327683,0.4350732,0.076205015
SE,0.22333286,1,0.335437844,-0.428308887,-0.438411807,0.401032145,-0.391733047,0.391999792,-0.384330431,0.376106828,0.368320967,-0.329573664
SM,0.110262558,0.335437844,1,-0.338725678,-0.366156647,0.260936338,-0.188676423,0.275393204,-0.183079743,0.218597262,0.237466436,-0.400829129
GGA,-0.702762604,-0.428308887,-0.338725678,1,0.97323357,-0.929734122,0.806902585,-0.945534494,0.816391323,-0.866730986,-0.905512496,0.142223662
GA,-0.524499923,-0.438411807,-0.366156647,0.97323357,1,-0.968262129,0.882131743,-0.972516786,0.881358621,-0.926877206,-0.947960827,0.199302815
a.,0.459564938,0.401032145,0.260936338,-0.929734122,-0.968262129,1,-0.944794643,0.994879361,-0.950272893,0.978994802,0.99165103,-0.170527472
b.,-0.279373802,-0.391733047,-0.188676423,0.806902585,0.882131743,-0.944794643,1,-0.907319715,0.993751179,-0.986400715,-0.957224521,0.239043821
u.,0.50256714,0.391999792,0.275393204,-0.945534494,-0.972516786,0.994879361,-0.907319715,1,-0.917156316,0.956443775,0.982085102,-0.148222441
v.,-0.314720362,-0.384330431,-0.183079743,0.816391323,0.881358621,-0.950272893,0.993751179,-0.917156316,1,-0.987189027,-0.967608861,0.23107095
ab,0.360327683,0.376106828,0.218597262,-0.866730986,-0.926877206,0.978994802,-0.986400715,0.956443775,-0.987189027,1,0.990723107,-0.222737256
uv,0.4350732,0.368320967,0.237466436,-0.905512496,-0.947960827,0.99165103,-0.957224521,0.982085102,-0.967608861,0.990723107,1,-0.196254051
PY,0.076205015,-0.329573664,-0.400829129,0.142223662,0.199302815,-0.170527472,0.239043821,-0.148222441,0.23107095,-0.222737256,-0.196254051,1
