"","CSI","SE","SM","GGA","GA","a.","b.","u.","v.","ab","uv","PY"
"CSI",1,0.22333286039535,0.110262558356917,-0.702762604370134,-0.524499922574883,0.459564937981654,-0.279373802279907,0.502567139639099,-0.314720361996676,0.360327682708786,0.435073200213541,0.0762050152141161
"SE",0.22333286039535,1,0.335437844478055,-0.428308886994291,-0.438411806662345,0.401032145330427,-0.391733046973817,0.391999792478057,-0.384330430619608,0.376106828319145,0.368320966515752,-0.329573663943639
"SM",0.110262558356917,0.335437844478055,1,-0.338725678199352,-0.366156647469414,0.260936337704863,-0.188676423439222,0.275393204386994,-0.183079743042523,0.218597261915814,0.237466436006656,-0.400829129199018
"GGA",-0.702762604370134,-0.428308886994291,-0.338725678199352,1,0.973233570163767,-0.929734121546032,0.806902585298933,-0.945534493666473,0.816391323308631,-0.866730985880353,-0.905512495577533,0.142223661599251
"GA",-0.524499922574883,-0.438411806662345,-0.366156647469414,0.973233570163767,1,-0.968262129057205,0.882131742691102,-0.972516785965387,0.881358620887551,-0.92687720568337,-0.947960826540556,0.19930281469774
"a.",0.459564937981654,0.401032145330427,0.260936337704863,-0.929734121546032,-0.968262129057205,1,-0.944794643318113,0.994879361169603,-0.950272892822372,0.978994801933601,0.991651029978597,-0.170527472090512
"b.",-0.279373802279907,-0.391733046973817,-0.188676423439222,0.806902585298933,0.882131742691102,-0.944794643318113,1,-0.907319714630991,0.993751179007667,-0.986400714501394,-0.957224520589143,0.239043820811058
"u.",0.502567139639099,0.391999792478057,0.275393204386994,-0.945534493666473,-0.972516785965387,0.994879361169603,-0.907319714630991,1,-0.917156316065405,0.95644377544648,0.982085101717992,-0.148222441204447
"v.",-0.314720361996676,-0.384330430619608,-0.183079743042523,0.816391323308631,0.881358620887551,-0.950272892822372,0.993751179007667,-0.917156316065405,1,-0.987189026775189,-0.967608860912835,0.231070950195528
"ab",0.360327682708786,0.376106828319145,0.218597261915814,-0.866730985880353,-0.92687720568337,0.978994801933601,-0.986400714501394,0.95644377544648,-0.987189026775189,1,0.990723107171748,-0.222737255692965
"uv",0.435073200213541,0.368320966515752,0.237466436006656,-0.905512495577533,-0.947960826540556,0.991651029978597,-0.957224520589143,0.982085101717992,-0.967608860912835,0.990723107171748,1,-0.196254051465671
"PY",0.0762050152141161,-0.329573663943639,-0.400829129199018,0.142223661599251,0.19930281469774,-0.170527472090512,0.239043820811058,-0.148222441204447,0.231070950195528,-0.222737255692965,-0.196254051465671,1
