Trait,CSI,SE,SM,GGA,GA,a.,b.,u.,v.,ab,PY,Inc
CSI,1,0.403373425,0.372222605,-0.64490462,-0.357171092,0.461598775,-0.218166649,0.522042062,-0.274497467,0.37953917,-0.437775035,-0.221597863
SE,0.403373425,1,0.460141487,-0.51777992,-0.472835614,0.490085179,-0.411354334,0.497399958,-0.44163006,0.458857636,-0.414444744,0.041215459
SM,0.372222605,0.460141487,1,-0.380829282,-0.313789482,0.370854215,-0.352183544,0.366212402,-0.362545701,0.3833881,-0.375503718,-0.174658661
GGA,-0.64490462,-0.51777992,-0.380829282,1,0.94142562,-0.947007283,0.766280815,-0.966980811,0.800302835,-0.856551637,0.430993926,0.224060878
GA,-0.357171092,-0.472835614,-0.313789482,0.94142562,1,-0.955556839,0.846802448,-0.952253116,0.863077135,-0.88128802,0.33062752,0.163207252
a.,0.461598775,0.490085179,0.370854215,-0.947007283,-0.955556839,1,-0.911410351,0.99252804,-0.928872417,0.96441759,-0.35687039,-0.206867353
b.,-0.218166649,-0.411354334,-0.352183544,0.766280815,0.846802448,-0.911410351,1,-0.855256151,0.992938089,-0.974516371,0.214219568,0.094140276
u.,0.522042062,0.497399958,0.366212402,-0.966980811,-0.952253116,0.99252804,-0.855256151,1,-0.88018131,0.931139483,-0.378360662,-0.226862973
v.,-0.274497467,-0.44163006,-0.362545701,0.800302835,0.863077135,-0.928872417,0.992938089,-0.88018131,1,-0.98044551,0.186033377,0.044733522
ab,0.37953917,0.458857636,0.3833881,-0.856551637,-0.88128802,0.96441759,-0.974516371,0.931139483,-0.98044551,1,-0.287190976,-0.142609551
PY,-0.437775035,-0.414444744,-0.375503718,0.430993926,0.33062752,-0.35687039,0.214219568,-0.378360662,0.186033377,-0.287190976,1,0.640754051
Inc,-0.221597863,0.041215459,-0.174658661,0.224060878,0.163207252,-0.206867353,0.094140276,-0.226862973,0.044733522,-0.142609551,0.640754051,1
