Trait,CSI,SE,SM,GGA,GA,a.,b.,u.,v.,ab,uv,PY
CSI,1,0.392890521,0.387530022,-0.746481268,-0.45029884,0.562204808,0.466807021,0.655801655,0.350350892,0.310587758,0.605694486,-0.257785044
SE,0.392890521,1,0.351924094,-0.413537949,-0.304313642,0.205011674,0.569088902,0.341699838,0.505054159,-0.06759744,0.253200606,-0.381409313
SM,0.387530022,0.351924094,1,-0.232113194,-0.057224659,-0.078603605,0.669495596,0.089486542,0.673381468,-0.355020101,0.000615409,-0.355272229
GGA,-0.746481268,-0.413537949,-0.232113194,1,0.920191559,-0.82417597,-0.483116392,-0.928628322,-0.38347232,-0.540283326,-0.873766634,0.11120169
GA,-0.45029884,-0.304313642,-0.057224659,0.920191559,1,-0.803951334,-0.34670863,-0.880975395,-0.27751336,-0.57978268,-0.841072866,-0.035366416
a.,0.562204808,0.205011674,-0.078603605,-0.82417597,-0.803951334,1,-0.038604225,0.967283657,-0.1604523,0.907248967,0.990327738,-0.077166576
b.,0.466807021,0.569088902,0.669495596,-0.483116392,-0.34670863,-0.038604225,1,0.214438885,0.982935673,-0.447103241,0.07017365,-0.312879309
u.,0.655801655,0.341699838,0.089486542,-0.928628322,-0.880975395,0.967283657,0.214438885,1,0.092681668,0.774851014,0.986790576,-0.145319544
v.,0.350350892,0.505054159,0.673381468,-0.38347232,-0.27751336,-0.1604523,0.982935673,0.092681668,1,-0.548559214,-0.053639139,-0.244146024
ab,0.310587758,-0.06759744,-0.355020101,-0.540283326,-0.57978268,0.907248967,-0.447103241,0.774851014,-0.548559214,1,0.859798053,0.095152208
uv,0.605694486,0.253200606,0.000615409,-0.873766634,-0.841072866,0.990327738,0.07017365,0.986790576,-0.053639139,0.859798053,1,-0.079570039
PY,-0.257785044,-0.381409313,-0.355272229,0.11120169,-0.035366416,-0.077166576,-0.312879309,-0.145319544,-0.244146024,0.095152208,-0.079570039,1
