"","CSI","Severity_score","Severity_pix","GGA","GA","a.","b.","u.","v.","ab","uv","PY"
"CSI",1,0.392890521329233,0.387530022164502,-0.746481267597546,-0.450298839844582,0.562204807838,0.466807021395682,0.655801655169117,0.350350891783495,0.310587758385077,0.605694486380067,-0.257785043637685
"Severity_score",0.392890521329233,1,0.351924093710281,-0.413537948578258,-0.304313642292589,0.205011673636912,0.569088901953126,0.341699837884113,0.50505415923352,-0.0675974399199502,0.253200606219832,-0.381409312988059
"Severity_pix",0.387530022164502,0.351924093710281,1,-0.232113194252041,-0.0572246589624581,-0.0786036048757136,0.669495595732858,0.0894865417947704,0.673381468143933,-0.355020101492384,0.000615408837950508,-0.355272229383837
"GGA",-0.746481267597546,-0.413537948578258,-0.232113194252041,1,0.920191558862113,-0.824175970083422,-0.483116391606478,-0.928628322125291,-0.383472320347551,-0.54028332567236,-0.873766634071273,0.111201689948567
"GA",-0.450298839844582,-0.304313642292589,-0.0572246589624581,0.920191558862113,1,-0.803951333534015,-0.346708629772832,-0.880975394813373,-0.277513359598523,-0.579782680401015,-0.841072865804112,-0.0353664156334959
"a.",0.562204807838,0.205011673636912,-0.0786036048757136,-0.824175970083422,-0.803951333534015,1,-0.0386042251261736,0.96728365687186,-0.160452300285532,0.907248966821782,0.990327737765441,-0.0771665764054732
"b.",0.466807021395682,0.569088901953126,0.669495595732858,-0.483116391606478,-0.346708629772832,-0.0386042251261736,1,0.214438884556365,0.982935673351528,-0.447103241346678,0.0701736497138155,-0.312879308652187
"u.",0.655801655169117,0.341699837884113,0.0894865417947704,-0.928628322125291,-0.880975394813373,0.96728365687186,0.214438884556365,1,0.0926816676018144,0.774851013508711,0.986790575820377,-0.145319544037707
"v.",0.350350891783495,0.50505415923352,0.673381468143933,-0.383472320347551,-0.277513359598523,-0.160452300285532,0.982935673351528,0.0926816676018144,1,-0.548559213788116,-0.0536391387257851,-0.244146024228302
"ab",0.310587758385077,-0.0675974399199502,-0.355020101492384,-0.54028332567236,-0.579782680401015,0.907248966821782,-0.447103241346678,0.774851013508711,-0.548559213788116,1,0.859798053469233,0.0951522076295942
"uv",0.605694486380067,0.253200606219832,0.000615408837950508,-0.873766634071273,-0.841072865804112,0.990327737765441,0.0701736497138155,0.986790575820377,-0.0536391387257851,0.859798053469233,1,-0.079570038891406
"PY",-0.257785043637685,-0.381409312988059,-0.355272229383837,0.111201689948567,-0.0353664156334959,-0.0771665764054732,-0.312879308652187,-0.145319544037707,-0.244146024228302,0.0951522076295942,-0.079570038891406,1
