Replication,Genotypes,Group,Pod_yield,Incubation
1,AQUA,Landrace,1,16
1,BOBWHITE,Landrace,1.5,17
1,CHIGUNWE,Landrace,8,24
1,CHIZAMBIA,Landrace,6,20
1,DENDERA,Commercial,4,18
1,GUINEAFOWL,Commercial,6.5,20
1,GURA_KUKUMBIRA,Landrace,5,20
1,ICGV-SM-15576,Pre-release,13.5,35
1,ICGV-SM-15592,Pre-release,10,33
1,ICGV-SM-15631,Pre-release,14,34
1,ICGV-SM-16637,Pre-release,9.5,37
1,IGGV-SM-15588,Pre-release,10,35
1,ILLANDA,Commercial,5.5,20
1,JESA,Commercial,3.5,20
1,KABHUTSU,Landrace,2,14
1,KASAWAYA,Landrace,2,14
1,MAKULU_RED,Landrace,4,20
1,MATATU_MATATU,Landrace,4,18
1,MUNZUNGU_MUNEMARI,Landrace,1,18
1,MURAMBATSVINA,Landrace,4.5,24
1,MUROMO_WEHOTO,Landrace,3.5,22
1,NJIVA,Commercial,2.5,20
1,NYATSINGA,Landrace,1,13
1,TUMBE,Landrace,3.5,17
2,AQUA,Landrace,1,15
2,BOBWHITE,Landrace,2,16
2,CHIGUNWE,Landrace,8.5,25
2,CHIZAMBIA,Landrace,7,18
2,DENDERA,Commercial,4.5,20
2,GUINEAFOWL,Commercial,7,21
2,GURA_KUKUMBIRA,Landrace,6,21
2,ICGV-SM-15576,Pre-release,12,32
2,ICGV-SM-15592,Pre-release,11,32
2,ICGV-SM-15631,Pre-release,12.5,35
2,ICGV-SM-16637,Pre-release,10,35
2,IGGV-SM-15588,Pre-release,11.5,36
2,ILLANDA,Commercial,6.5,22
2,JESA,Commercial,3,22
2,KABHUTSU,Landrace,2.5,14
2,KASAWAYA,Landrace,3,14
2,MAKULU_RED,Landrace,4.5,17
2,MATATU_MATATU,Landrace,3,20
2,MUNZUNGU_MUNEMARI,Landrace,2,17
2,MURAMBATSVINA,Landrace,3,20
2,MUROMO_WEHOTO,Landrace,2.5,20
2,NJIVA,Commercial,4,21
2,NYATSINGA,Landrace,2.5,14
2,TUMBE,Landrace,4.5,17
