Growth_stage,Replication,Group,Genotypes,Severity,Intensity,Hue,Saturation,Lightness,a*,b*,ab,u*,v*,uv,GA,GGA,CSI
R2,1,Landrace,AQUA,50,0.37590817,79.103355,0.23218542,45.82089,-13.493831,25.746595,-347.4202018,-6.628461,30.172735,-199.9987972,0.674925486,0.545923869,19.11346068
R2,1,Landrace,BOBWHITE,40,0.4078468,68.31539,0.20126593,47.987564,-9.590067,23.76894,-227.9457271,-1.9821123,28.139833,-55.77630911,0.548735301,0.412003835,24.91756326
R2,1,Landrace,CHIGUNWE,70,0.37725616,72.20687,0.22665137,45.305584,-10.93537,24.684183,-269.9306743,-3.5569334,28.62838,-101.829241,0.609879812,0.473182678,22.41378232
R2,1,Landrace,CHIZAMBIA,60,0.40704736,78.85856,0.22662497,49.268642,-14.021983,26.89996,-377.1907818,-6.9183125,32.14593,-222.3955893,0.625471751,0.555295308,11.2197621
R2,1,Commercial,DENDERA,70,0.40124688,74.97159,0.21043485,47.902134,-11.830917,24.811094,-293.5379938,-4.6805773,29.511335,-138.1300847,0.612347921,0.480780284,21.48576531
R2,1,Commercial,GUINEAFOWL,40,0.4054381,72.51959,0.17360032,47.388638,-9.819007,21.631603,-212.4008613,-3.1202645,26.029978,-81.22041629,0.586933136,0.48528417,17.31866208
R2,1,Landrace,GURA_KUKUMBIRA,40,0.4485571,75.60412,0.20172882,53.051945,-12.769325,26.353804,-336.5202883,-5.3314314,32.248184,-171.9289808,0.664300283,0.507499695,23.60387193
R2,1,Pre-release,ICGV-SM-15576,20,0.40539446,86.78066,0.23409683,50.08219,-17.671103,28.480568,-503.2830506,-11.326823,34.448112,-390.1876673,0.774805705,0.65117391,15.95649006
R2,1,Pre-release,ICGV-SM-15592,40,0.3729526,82.05786,0.20084673,44.982807,-13.040163,23.293161,-303.7466162,-6.8666,27.683079,-190.0886303,0.61588796,0.4985466,19.0523873
R2,1,Pre-release,ICGV-SM-15631,30,0.39032033,83.70425,0.20946854,47.349094,-14.578478,25.092628,-365.8123253,-8.299863,30.153627,-250.2709731,0.701457977,0.568962097,18.88864115
R2,1,Pre-release,ICGV-SM-16637,40,0.36527932,83.12142,0.31710482,47.01498,-18.54148,32.40839,-600.899515,-11.280973,37.029594,-417.7298501,0.851211548,0.651248932,23.49152998
R2,1,Pre-release,IGGV-SM-15588,20,0.41862783,74.98401,0.16227204,48.74259,-10.30318,21.374523,-220.2255579,-3.8662972,26.121647,-100.9940507,0.552828471,0.489255269,11.49962508
R2,1,Commercial,ILLANDA,50,0.3673261,78.2236,0.29636323,46.18025,-15.361104,30.234224,-464.4310592,-7.6908207,34.429153,-264.7884426,0.694738197,0.54915672,20.95486872
R2,1,Commercial,JESA,60,0.4372073,71.070816,0.17985803,50.9542,-10.236681,23.423918,-239.7831763,-2.9430373,28.525888,-83.9527524,0.510704041,0.431294759,15.54898241
