Stage,Replication,Groups,Genotypes,Genotype,CSI,Severity_score,Severity_pix,Healthy_pix,GGA,GA,Intensity,Hue,Saturation,Lightness,a*,b*,u*,v*,ab,uv
R7,1,Landrace,AQUA,G1,29.48,65,35.92,64.08,0.51,0.73,0.44,75.59,0.29,54.51,-16.2,34.07,-7.44,40.22,-551.93,-299.24
R7,1,Landrace,BOBWHITE,G2,21.07,44.4,61.28,38.72,0.53,0.67,0.45,74.39,0.25,54.1,-14.18,30.51,-5.8,36.61,-432.63,-212.34
R7,1,Landrace,CHIGUNWE,G3,5.14,39,3.41,96.59,0.71,0.75,0.42,96.61,0.17,50.69,-17.9,24.22,-13.09,30.67,-433.54,-401.47
R7,1,Landrace,CHIZAMBIA,G4,20.01,30,0.46,99.54,0.51,0.64,0.47,72.12,0.17,54.35,-10.82,24.1,-3.43,29.94,-260.76,-102.69
R7,1,Commercial,DENDERA,G5,37.98,52,0.14,99.86,0.53,0.66,0.38,70.81,0.22,45.65,-10.28,24.03,-2.89,27.99,-247.03,-80.89
R7,1,Commercial,GUINEAFOWL,G6,16.75,46,0.62,99.38,0.59,0.71,0.46,82.8,0.17,54.66,-14.26,25.03,-7.89,31.57,-356.93,-249.09
R7,1,Landrace,GURA_KUKUMBIRA,G7,15.1,35,0.62,99.38,0.55,0.65,0.46,75.56,0.14,52.79,-10.21,20.84,-3.92,26.25,-212.78,-102.9
R7,1,Pre-release,ICGV-SM-15576,G8,15.82,38.9,0.59,99.41,0.46,0.55,0.45,63.52,0.21,52.66,-9.07,25.86,-0.31,30.98,-234.55,-9.6
R7,1,Pre-release,ICGV-SM-15592,G9,8.98,29,0.43,99.57,0.73,0.81,0.45,95.71,0.16,53.97,-17.98,24.76,-13.1,31.86,-445.18,-417.37
R7,1,Pre-release,ICGV-SM-15631,G10,19.63,35,10.96,89.04,0.52,0.65,0.43,74.59,0.19,50.39,-11.48,24.24,-4.37,29.44,-278.28,-128.65
R7,1,Pre-release,ICGV-SM-16637,G11,21.7,65,0.31,99.69,0.36,0.46,0.5,57.35,0.24,58.02,-8.35,30.36,2.72,36.21,-253.51,98.49
R7,1,Pre-release,IGGV-SM-15588,G12,11.81,36.5,0.27,99.73,0.67,0.76,0.38,83.93,0.19,45.28,-13.25,22.76,-7.33,27.3,-301.57,-200.11
R7,1,Commercial,ILLANDA,G13,11.32,50,0.26,99.74,0.7,0.79,0.33,89.15,0.15,39.15,-11.53,17.97,-6.72,21.24,-207.19,-142.73
R7,1,Commercial,JESA,G14,22.81,38.9,2.85,97.15,0.57,0.74,0.37,75.97,0.24,45.19,-12.54,25.88,-5.32,29.95,-324.54,-159.33
R7,1,Landrace,KABHUTSU,G15,13.79,40,0.4,99.6,0.58,0.67,0.46,78.09,0.18,53.59,-12.62,24.54,-5.81,30.57,-309.69,-177.61
R7,1,Landrace,KASAWAYA,G16,28.09,50.1,32.24,67.76,0.39,0.54,0.46,65.66,0.24,54.16,-10.79,29.64,-1.3,35.17,-319.82,-45.72
R7,1,Landrace,MAKULU_RED,G17,26.8,54.5,29.04,70.96,0.51,0.69,0.44,74.33,0.3,53.92,-15.78,34.42,-6.75,40.27,-543.15,-271.82
R7,1,Landrace,MATATU_MATATU,G18,28.55,49,23.21,76.79,0.42,0.59,0.45,66.99,0.24,53.31,-10.97,28.84,-1.87,34.27,-316.37,-64.08
R7,1,Landrace,MUNZUNGU_MUNEMARI,G19,16.67,39.4,0.28,99.72,0.68,0.82,0.33,83.61,0.3,42.35,-16.54,28.62,-9.74,32.16,-473.37,-313.24
R7,1,Landrace,MURAMBATSVINA,G20,8.95,52.8,9.44,90.56,0.65,0.71,0.44,87.38,0.2,52.67,-16.81,26.84,-10.74,33.4,-451.18,-358.72
