Stage,Replication,Groups,Genotypes,Genotype,CSI,Severity_score,Severity_pix,Healthy_pix,GGA,GA,Intensity,Hue,Saturation,Lightness,a*,b*,u*,v*,ab,uv
R1,1,Landrace,AQUA,G1,29.85,32,55.2,44.8,0.51,0.73,0.36,79,0.31,44.98,-15.66,30.2,-8.11,34.09,-472.93,-276.47
R1,1,Landrace,BOBWHITE,G2,21.78,22,68.74,31.26,0.48,0.61,0.4,74.21,0.18,47.19,-10.46,22.21,-3.77,26.67,-232.32,-100.55
R1,1,Landrace,CHIGUNWE,G3,14.02,20,2.11,97.89,0.8,0.93,0.29,93.29,0.42,41.42,-25.03,35.19,-18.73,38.12,-880.81,-713.99
R1,1,Landrace,CHIZAMBIA,G4,21.37,12,0.3,99.7,0.69,0.88,0.34,89.71,0.28,44.06,-18.86,28.59,-12.76,33.08,-539.21,-422.1
R1,1,Commercial,DENDERA,G5,19.28,34.8,1.14,98.86,0.63,0.78,0.35,95.16,0.19,43.35,-16.77,23.14,-11.75,27.83,-388.06,-327
R1,1,Commercial,GUINEAFOWL,G6,10.52,18,0.96,99.04,0.85,0.95,0.34,100.61,0.24,44.53,-22.35,27.76,-17.46,33.15,-620.44,-578.8
R1,1,Landrace,GURA_KUKUMBIRA,G7,23.97,19.5,0.28,99.72,0.7,0.92,0.3,86.47,0.41,40.65,-20.71,33.6,-13.72,35.96,-695.86,-493.37
R1,1,Pre-release,ICGV-SM-15576,G8,15.08,21,0.3,99.7,0.78,0.92,0.33,95.7,0.31,44.51,-23.54,31.71,-17.87,36.54,-746.45,-652.97
R1,1,Pre-release,ICGV-SM-15592,G9,10.27,16,0.46,99.54,0.84,0.93,0.35,90.43,0.41,49.27,-26.78,39.89,-20.15,44.96,-1068.25,-905.94
R1,1,Pre-release,ICGV-SM-15631,G10,15.83,16.7,0.4,99.6,0.79,0.93,0.35,90.26,0.4,48.16,-25.87,38.67,-19.24,43.48,-1000.39,-836.56
R1,1,Pre-release,ICGV-SM-16637,G11,20.71,32,4.88,95.12,0.43,0.54,0.42,84.72,0.15,49.54,-12.32,20.91,-6.8,26.17,-257.61,-177.96
R1,1,Pre-release,IGGV-SM-15588,G12,23.53,24.7,0.12,99.88,0.7,0.92,0.34,85.6,0.38,45.88,-21.57,35.68,-14.38,39.66,-769.62,-570.31
R1,1,Commercial,ILLANDA,G13,19.39,31.5,0.68,99.32,0.39,0.48,0.42,65.78,0.19,48.81,-8.67,22.87,-1.03,27.28,-198.28,-28.1
R1,1,Commercial,JESA,G14,15.54,28.4,1.04,98.96,0.62,0.73,0.36,82.7,0.3,45.86,-17.46,30.82,-10.32,35.19,-538.12,-363.16
R1,1,Landrace,KABHUTSU,G15,17.38,14,0.59,99.41,0.71,0.86,0.36,94.48,0.25,46.32,-20.42,28.25,-14.94,33.74,-576.87,-504.08
R1,1,Landrace,KASAWAYA,G16,33.47,31,38.86,61.14,0.23,0.34,0.43,49.8,0.14,48.68,-4.44,18.38,3.06,22,-81.61,67.32
R1,1,Landrace,MAKULU_RED,G17,17.58,29,45.66,54.34,0.7,0.85,0.32,89.74,0.3,42.38,-19.41,29.37,-13.2,33.27,-570.07,-439.16
R1,1,Landrace,MATATU_MATATU,G18,14.49,32.1,2.76,97.24,0.79,0.92,0.34,89.83,0.39,46.36,-24.4,36.8,-17.75,41.17,-897.92,-730.77
R1,1,Landrace,MUNZUNGU_MUNEMARI,G19,27.15,23,0.28,99.72,0.68,0.93,0.34,87.26,0.37,46.11,-22.34,35.61,-15.4,39.84,-795.53,-613.54
R1,1,Landrace,MURAMBATSVINA,G20,30.51,28.9,9.97,90.03,0.54,0.77,0.34,83.88,0.27,42.76,-15.88,27.25,-9.29,31.06,-432.73,-288.55
R1,1,Landrace,MUROMO_WEHOTO,G21,14.94,20.1,3.31,96.69,0.8,0.94,0.33,90.9,0.4,46.25,-25.54,37.67,-19.01,41.95,-962.09,-797.47
R1,1,Commercial,NJIVA,G22,20.94,24.5,65.57,34.43,0.5,0.64,0.35,89.03,0.18,42.21,-13.82,21.43,-8.49,25.49,-296.16,-216.41
